source_file,source_sheet,dataset,model,R2,RMSE,MAE,Pearson,Spearman,EF@1%,EF@5%,EF@10%,ECE,AUPR
model-performance-results.xlsx,Davis数据集,Davis,GraphDTA GATNet,0.3667,0.6795,0.4617,0.4124,0.6218,0.469,0.7574,4.93,0.1205,0.601
model-performance-results.xlsx,Davis数据集,Davis,GraphDTA GINConnvNet,0.2146,0.7567,0.4833,0.5742,0.4358,4.34,3.8,3.3,0.2882,0.5561
model-performance-results.xlsx,BingdingBD数据集,BindingDB,MLP（Morgan + 理化描述符 + ESM2）,0.222,1.0372,0.7985,0.5128,0.4816,3.89,3.37,3.11,0.0255,0.4635
model-performance-results.xlsx,BingdingBD数据集,BindingDB,Transformer（Morgan + 理化描述符 + ESM2）,0.1838,1.0624,0.7688,0.565,0.5297,4.68,4.13,3.7,0.3985,0.5603
model-performance-results.xlsx,BingdingBD数据集,BindingDB,GraphDTA GAT_GCN,0.0995,1.2318,0.9586,0.3653,0.3572,3.02,2.68,2.44,0.1826,0.3955
model-performance-results.xlsx,BingdingBD数据集,BindingDB,GraphDTA GCNNet,0.0519,1.2639,0.9817,0.2942,0.2652,3.37,2.84,2.17,0.2004,0.3612
model-performance-results.xlsx,BingdingBD数据集,BindingDB,GraphDTA GATNet,0.0891,1.2388,0.9158,0.3497,0.3555,2.46,2.71,1.91,0.2523,0.3725
model-performance-results.xlsx,BingdingBD数据集,BindingDB,GraphDTA GINConnvNet,0.0677,1.2533,0.99,0.3325,0.3471,3.45,2.5,2.15,0.1839,0.3584
model-performance-results.xlsx,KIBA数据集,KIBA,MLP（Morgan + 理化描述符 + ESM2）,0.2565,1.014,0.7781,0.5329,0.5038,3.75,3.57,3.11,0.0227,0.4821
model-performance-results.xlsx,KIBA数据集,KIBA,Transformer（Morgan + 理化描述符 + ESM2）,0.2308,0.7418,0.4925,0.5339,0.495,4.05,3.66,3.22,0.1581,0.5
model-performance-results.xlsx,KIBA数据集,KIBA,GraphDTA GAT_GCN,0.2233,0.724,0.5124,0.4886,0.3716,4.49,3.3,2.83,0.0645,0.4602
model-performance-results.xlsx,KIBA数据集,KIBA,GraphDTA GCNNet,0.2122,0.7291,0.5254,0.5036,0.408,4.28,3.59,3.13,0.0462,0.5162
model-performance-results.xlsx,KIBA数据集,KIBA,GraphDTA GATNet,-0.1038,0.863,0.6055,0.2624,0.1208,3.88,3.0,2.42,0.3256,0.3991
model-performance-results.xlsx,KIBA数据集,KIBA,GraphDTA GINConnvNet,0.1203,0.7705,0.57,0.4077,0.2662,4.37,3.38,2.72,0.1065,0.442
